time,temperature_2m,relative_humidity_2m,wind_speed_10m
2024-03-19T07:00,10,17,344
2024-03-19T07:00,20,43,65
2024-03-19T07:00,30,34,45

2024-03-29T00:00,8.1,71,12.7

2024-03-29T01:00,7.7,79,13.0

2024-03-29T02:00,7.0,78,13.0

2024-03-29T03:00,6.5,80,10.0

2024-03-29T04:00,6.1,78,11.3

2024-03-29T05:00,5.7,77,10.2

2024-03-29T06:00,6.1,74,10.1

2024-03-29T07:00,7.3,67,12.3

2024-03-29T08:00,8.5,62,16.1

2024-03-29T09:00,9.9,58,7.1

2024-03-29T10:00,11.4,55,15.2

2024-03-29T11:00,11.1,63,14.6

2024-03-29T12:00,11.3,65,15.7

2024-03-29T13:00,13.2,55,20.9

2024-03-29T14:00,14.2,51,20.4

2024-03-29T15:00,14.4,54,18.3

2024-03-29T16:00,14.3,59,13.8

2024-03-29T17:00,13.9,63,11.0

2024-03-29T18:00,12.9,69,8.0

2024-03-29T19:00,12.1,73,6.7

2024-03-29T20:00,11.4,77,6.3

2024-03-29T21:00,10.7,82,6.0

2024-03-29T22:00,10.3,85,6.8

2024-03-29T23:00,10.3,86,6.6

2024-03-30T00:00,10.3,86,0.8

2024-03-30T01:00,9.7,90,3.7

2024-03-30T02:00,9.3,92,4.8

2024-03-30T03:00,9.1,93,5.1

2024-03-30T04:00,9.0,93,5.1

2024-03-30T05:00,8.9,93,8.6

2024-03-30T06:00,9.3,90,10.6

2024-03-30T07:00,10.7,83,11.3

2024-03-30T08:00,12.5,75,11.8

2024-03-30T09:00,14.2,69,12.3

2024-03-30T10:00,16.2,62,12.2

2024-03-30T11:00,18.4,55,10.0

2024-03-30T12:00,20.6,48,10.0

2024-03-30T13:00,22.1,40,11.4

2024-03-30T14:00,22.7,40,12.7

2024-03-30T15:00,22.6,40,14.5

2024-03-30T16:00,21.8,45,11.4

2024-03-30T17:00,20.6,52,9.1

2024-03-30T18:00,18.8,55,8.0

2024-03-30T19:00,17.2,57,8.2

2024-03-30T20:00,16.2,59,8.7

2024-03-30T21:00,15.5,61,9.0

